episode,total_reward
1,-1235.978082645039
1,-1263.4465310073465
1,-1128.3121797117901
1,-885.9196013821037
1,-744.703108889139
1,-651.1875288240828
1,-767.4399373188265
1,-546.4731965051285
1,-604.5815104777146
1,-830.8217560091946
1,-1434.324351114076
1,-1391.425728644202
1,-1294.824488472483
1,-26526674.387662303
